symbol	panel_tier	n_sources	sources	n_nominations	has_experimental_evidence	in_core_panel	n_specific_go_terms	specific_go_terms	go_terms	reactome_pathways	string_seeds	known_mva_gene	ensembl_gene_id	gnomad_transcript	gnomad_loeuf	gnomad_oe_lof	gnomad_pli	gnomad_mis_z	constraint_bin
SPC25	2	3	GO,Reactome,STRING	42	yes	yes	3	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB1	no	57405	NM_020675.4	1.153	0.759	0.000	0.37	unconstrained
SPDL1	2	3	GO,Reactome,STRING	37	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB1B	no	54908	NM_017785.5	1.263	1.034	0.000	0.34	unconstrained
STAG1	2	3	GO,Reactome,STRING	14	yes	yes	1	GO:0007062 (sister chromatid cohesion)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007062 (sister chromatid cohesion)	R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase)	SMC5	no	10274	NM_005862.3	0.159	0.085	1.000	4.17	highly_constrained
STAG2	2	3	GO,Reactome,STRING	21	yes	yes	1	GO:0007062 (sister chromatid cohesion)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007062 (sister chromatid cohesion)	R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase)	SMC5	no	NA	NA	NA	NA	NA	NA	no_constraint_data
UBE2C	2	3	GO,Reactome,STRING	13	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)	R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB1,BUB1B,BUB3,TRIP13	no	11065	NM_007019.4	1.073	0.707	0.000	0.85	unconstrained
ZW10	2	3	GO,Reactome,STRING	33	yes	yes	3	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB3	no	9183	NM_004724.4	0.730	0.574	0.000	1.54	moderate
ZWILCH	2	3	GO,Reactome,STRING	59	yes	yes	3	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB1B,BUB3	no	55055	NM_017975.5	1.061	0.813	0.000	0.16	unconstrained
ZWINT	2	3	GO,Reactome,STRING	51	yes	yes	3	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB1,BUB1B,BUB3,TRIP13	no	11130	NM_007057.4	1.248	0.961	0.000	-0.59	unconstrained
AHCTF1	3	2	GO,Reactome	6	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	25909	NM_001323342.2	0.142	0.098	1.000	2.73	highly_constrained
AKAP9	3	2	Reactome,STRING	4	yes	yes	0			R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)	CEP192	no	10142	NM_005751.5	0.662	0.596	0.000	2.05	moderate
ALMS1	3	2	GO,Reactome	4	yes	yes	0		GO:0007098 (centrosome cycle)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	7840	NM_001378454.1	0.825	0.745	0.000	-1.69	moderate
ANAPC10	3	2	Reactome,STRING	5	yes	yes	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB1B,BUB3	no	10393	NM_001256706.2	0.863	0.334	0.516	0.73	moderate
ATRX	3	2	GO,STRING	2	yes	yes	1	GO:0007062 (sister chromatid cohesion)	GO:0007062 (sister chromatid cohesion)		SMC5	no	NA	NA	NA	NA	NA	NA	no_constraint_data
AURKA	3	2	GO,STRING	13	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0000776 (kinetochore); GO:0007098 (centrosome cycle)		BUB1,CEP192,TRIP13	no	6790	NM_198437.3	0.528	0.348	0.933	2.78	constrained
BRCA1	3	2	GO,STRING	3	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)		SMC5	no	672	NM_007294.4	0.885	0.766	0.000	2.34	moderate
BRCA2	3	2	GO,STRING	2	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)		BUB1B	no	675	NM_000059.4	0.803	0.711	0.000	1.02	moderate
CCNA2	3	2	Reactome,STRING	5	yes	yes	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets)	BUB1,BUB1B,BUB3,TRIP13	no	890	NM_001237.5	0.183	0.071	1.000	2.52	highly_constrained
CCNB2	3	2	Reactome,STRING	6	yes	yes	0			R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase)	BUB1,BUB1B,BUB3,TRIP13	no	9133	NM_004701.4	1.013	0.764	0.000	0.19	unconstrained
CCP110	3	2	GO,Reactome	24	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	9738	XM_017023908.1	0.372	0.225	1.000	1.82	constrained
CDC26	3	2	Reactome,STRING	5	yes	yes	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB1B,BUB3	no	246184	NM_139286.4	1.640	0.413	0.294	0.39	unconstrained
CDK11B	3	2	GO,Reactome	2	yes	yes	1	GO:0007062 (sister chromatid cohesion)	GO:0007062 (sister chromatid cohesion)	R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes)		no	984	NM_033486.3	0.902	0.658	0.000	2.50	moderate
CENPH	3	2	GO,Reactome	22	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	64946	NM_022909.4	1.944	1.760	0.007	-1.55	unconstrained
CENPK	3	2	GO,Reactome	7	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	64105	NM_022145.5	1.643	0.938	0.001	-0.08	unconstrained
CENPL	3	2	GO,Reactome	7	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	91687	NM_001387287.1	0.739	0.456	0.092	1.07	moderate
CENPM	3	2	GO,Reactome	7	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	79019	NM_024053.5	1.038	0.664	0.001	0.07	unconstrained
